#{"t_start": 1787011359.127397, "env_id": "Humanoid-v4"}
r,l,t
340.164924,73,77.812753
252.080534,51,78.584687
234.405321,43,79.232952
243.711915,44,79.900167
239.032613,44,80.5604
228.408147,43,81.205673
337.537158,64,82.174081
414.638356,85,83.465625
322.692414,66,84.467942
722.569935,143,86.637137
183.738249,36,87.19265
185.08549,36,87.746169
160.600447,32,88.228877
183.917047,36,88.770427
179.569,35,89.295024
170.126193,34,89.805657
226.86118,43,90.45492
178.334,35,90.983505
252.591622,47,91.688618
274.436948,52,92.429636
220.411872,42,93.041996
265.177704,51,93.767055
248.585963,46,94.442248
300.048109,58,95.294966
312.418576,68,96.310249
263.706883,55,97.135042
267.643956,57,97.992746
299.245581,63,98.943203
256.304845,52,99.736081
310.315155,72,100.84212
303.34897,60,101.76166
332.841988,65,102.745028
373.623589,74,103.874006
290.25926,56,104.723732
361.392011,64,105.688151
333.976885,63,106.632624
377.52138,74,107.756615
240.055807,48,108.479681
417.523213,80,109.699416
592.698785,117,111.477657
304.486859,59,112.377249
259.444722,47,113.07937
215.79624,44,113.741598
225.015194,43,114.392855
395.108168,73,115.499892
423.675159,79,116.703671
237.760853,46,117.396816
274.649857,53,118.195678
466.580282,90,119.563019
318.757995,63,120.523448
295.885972,62,121.475899
341.02751,67,122.495171
283.178897,57,123.308993
287.752486,62,124.202602
328.7421,72,125.236834
268.500843,65,126.200256
258.438313,63,127.138744
253.281192,58,128.001436
264.352755,59,128.888062
262.705283,59,129.804611
360.873366,83,131.088175
344.986628,71,132.166289
365.454119,75,133.299257
324.288949,67,134.327505
348.949025,76,135.494382
320.053364,70,136.553548
305.701145,58,137.431199
347.83715,68,138.463437
404.683243,77,139.629316
406.319322,84,140.913878
255.664094,48,141.647914
476.632492,87,142.966385
412.284211,83,144.22003
489.947937,94,145.657184
633.373983,126,147.573056
477.947264,98,149.064066
447.743536,91,150.44138
248.975605,50,151.205336
372.692599,69,152.243557
298.069572,53,153.043416
238.145013,49,153.825324
477.589451,91,155.198649
273.975135,50,155.942657
311.448344,59,156.835268
338.42338,62,157.773757
311.256243,59,158.661381
210.517266,39,159.250804
235.398042,43,159.899069
383.539159,74,161.016079
364.243237,80,162.251772
358.301668,68,163.283013
279.605986,59,164.172632
330.420077,60,165.079206
346.219243,71,166.154328
263.164985,52,166.94621
251.613954,49,167.686229
537.404329,99,169.190203
531.465316,96,170.647304
400.414393,74,171.767307
288.029671,54,172.587112
288.788161,54,173.408913
305.803816,65,174.391284
256.5418,47,175.101384
218.79357,42,175.736684
235.461004,43,176.384948
290.670717,55,177.237666
264.836167,48,177.964721
358.057566,66,178.966041
432.057152,81,180.19575
445.816103,83,181.446403
324.499347,59,182.357963
336.574221,62,183.293459
363.129476,69,184.341656
269.49978,55,185.174426
543.749008,95,186.616566
358.183366,68,187.641822
283.157402,51,188.419741
516.698405,98,189.905763
288.14525,53,190.723575
239.049531,44,191.405749
298.684784,55,192.257469
366.239858,66,193.257792
193.61382,37,193.818292
371.905548,68,194.85452
264.555058,49,195.594539
335.78481,62,196.53203
261.469776,49,197.272049
338.380834,60,198.181615
313.80296,54,199.00541
254.720422,47,199.711521
347.476059,63,200.675939
325.731593,59,201.561569
300.219348,56,202.398331
431.321517,89,203.754701
463.664283,86,205.05123
347.884813,65,206.031607
415.425366,76,207.182526
367.058948,81,208.404256
266.053721,53,209.200126
304.706003,60,210.112684
273.230344,67,211.135946
277.519755,60,212.044514
297.300217,64,213.017909
361.143169,79,214.208722
248.088256,55,215.052464
292.839217,57,215.916153
399.135631,76,217.06807
336.758939,64,218.034483
280.155909,53,218.839329
469.049751,91,220.217641
235.756963,45,220.91278
419.518783,79,222.139498
395.928213,72,223.234567
342.186782,64,224.197989
401.146431,73,225.314999
382.211905,71,226.392116
689.485466,130,228.360848
373.974573,67,229.37613
349.356454,65,230.363488
349.682729,63,231.32292
366.984148,68,232.361142
349.982706,63,233.317582
340.358849,65,234.305937
382.62527,72,235.399012
387.937803,75,236.541953
403.874501,73,237.653977
210.414661,45,238.330167
225.901952,44,239.001371
205.579251,43,239.649636
287.624252,58,240.52629
229.550998,49,241.278277
215.349105,52,242.072153
187.517309,43,242.721415
196.242274,44,243.386635
276.932964,65,244.368008
215.435841,50,245.122988
205.764189,46,245.820122
195.620953,45,246.498307
178.083983,39,247.089724
188.539262,42,247.723029
239.990654,55,248.565774
209.974265,49,249.309783
230.207713,52,250.093685
278.834402,64,251.06708
254.756708,56,251.951712
211.222215,44,252.626905
215.624524,43,253.273176
492.073566,93,254.688388
346.49555,64,255.668765
299.615042,58,256.543424
428.7678,81,257.780114
430.919828,79,258.973919
259.396579,47,259.686013
524.432399,103,261.248831
338.105233,63,262.201282
305.525936,57,263.062976
474.931771,84,264.330583
415.380614,77,265.500453
337.941486,61,266.42797
400.765085,74,267.552959
409.441837,74,268.688919
410.998936,75,269.815903
375.060086,71,270.892023
307.770482,56,271.749727
447.981229,95,273.191868
396.065883,72,274.278959
446.844168,84,275.550556
391.124891,75,276.685519
278.937935,60,277.595084
322.531964,73,278.712095
308.143198,63,279.678509
228.189632,46,280.375643
252.217255,55,281.203427
360.266412,70,282.262593
275.588474,61,283.216041
312.847808,68,284.252268
356.834829,66,285.247604
337.256575,67,286.253911
396.895934,71,287.326041
330.676,62,288.261538
491.555273,88,289.608932
728.93272,133,291.624538
314.338039,61,292.543079
483.684925,92,293.938345
414.206045,75,295.080289
461.735577,86,296.380808
374.756793,81,297.60952
388.093891,87,298.938962
387.776771,86,300.257434
553.619741,114,301.989797
404.200962,77,303.162659
602.213448,117,304.930926
361.628511,67,305.953191
414.918209,76,307.102116
361.455597,72,308.190203
435.501549,89,309.534606
273.488295,49,310.275622
298.176829,54,311.092437
278.115279,56,311.947149
457.035569,103,313.566815
285.117679,61,314.501313
375.892748,72,315.587407
622.448394,132,317.602015
425.656283,79,318.790833
284.706993,60,319.701396
393.141788,73,320.799458
319.497095,64,321.769861
291.312388,57,322.640531
299.508213,63,323.593979
281.248785,53,324.396831
319.620814,63,325.360252
363.865469,70,326.417423
249.086545,46,327.109571
422.960466,81,328.341274
537.454839,118,330.123504
414.081762,85,331.412056
377.41914,72,332.499146
612.526575,115,334.243478
409.57076,82,335.486152
309.072457,58,336.361809
326.610665,61,337.301295
591.495642,116,339.052608
283.741877,53,339.862441
347.827108,64,340.825862
384.690633,71,341.895998
300.104983,55,342.733756
401.130158,76,343.910607
358.406522,66,344.924892
391.457244,73,346.034921
321.76604,59,346.927532
465.454584,90,348.294873
381.457641,72,349.380966
426.733115,91,350.772243
496.057588,91,352.139584
256.269653,56,352.98931
225.870523,49,353.728332
412.2475,88,355.054782
235.475029,52,355.839681
339.827977,73,356.942729
316.17822,69,357.983943
415.652829,80,359.216644
431.528951,88,360.549078
454.870369,84,361.817683
327.230356,69,362.863883
331.468136,60,363.770456
498.662386,92,365.159739
225.333046,44,365.818974
324.917075,61,366.744497
488.787833,98,368.212568
539.082324,114,369.939945
487.681061,97,371.412006
477.869677,101,372.944903
333.944712,76,374.136714
336.542581,71,375.220814
421.429109,91,376.592142
214.834021,45,377.274317
515.985478,106,378.885006
272.614053,57,379.743708
256.544878,54,380.574485
256.78302,56,381.425208
235.773488,51,382.203126
278.183193,58,383.083769
314.67957,69,384.130966
350.565536,70,385.192127
225.578643,50,385.946109
223.79096,48,386.668176
383.018233,76,387.81012
264.076941,56,388.662838
200.08955,45,389.351994
560.254439,109,390.998587
318.289628,73,392.117592
357.068966,76,393.258539
340.563516,76,394.413449
369.658767,74,395.532453
468.313813,88,396.858903
502.511765,99,398.356894
412.148301,89,399.714262
422.487026,87,401.039714
440.829727,80,402.246485
357.70461,66,403.248802
371.499622,69,404.324922
324.252116,60,405.241469
347.71878,64,406.214864
352.670285,64,407.187262
358.078473,67,408.205537
348.141654,64,409.17594
321.736936,59,410.074535
251.216494,48,410.799594
326.591806,61,411.738083
323.80874,60,412.649643
343.195036,62,413.593118
309.854675,57,414.45182
333.787247,60,415.364378
349.09543,64,416.345751
370.62753,66,417.342085
511.120267,99,418.844066
382.866852,70,419.90722
482.502728,86,421.207739
474.170398,92,422.608989
378.785178,70,423.663168
556.347185,102,425.220002
607.46692,121,427.056087
670.906392,128,428.998888
834.557673,152,431.289757
781.579702,156,433.662407
691.228931,119,435.509464
425.498248,76,436.651408
562.798456,100,438.170343
550.141378,106,439.777043
678.633401,125,441.670974
346.854887,65,442.665313
564.987019,109,444.315896
381.375241,73,445.418944
382.612481,69,446.466141
425.873212,80,447.666928
333.486512,63,448.61539
359.965786,66,449.610725
370.620854,66,450.622019
379.532888,78,451.803856
446.833798,84,453.078445
307.396743,56,453.934155
403.287073,83,455.194782
466.511945,86,456.498293
190.027077,39,457.082729
320.110789,65,458.065099
233.050879,49,458.80512
321.993311,67,459.819405
456.680281,92,461.219657
242.775622,51,461.993586
539.973344,103,463.555406
277.852427,60,464.468961
329.624516,71,465.596943
411.181198,89,466.948326
460.247466,82,468.188008
365.288372,77,469.354885
317.430369,65,470.34324
298.742052,58,471.222886
312.395562,64,472.20027
335.198074,67,473.215553
348.937616,71,474.290676
329.168198,64,475.262076
318.552156,64,476.23946
452.887,86,477.544966
642.581323,115,479.288301
526.608027,112,480.993737
534.328501,112,482.690197
431.152581,85,483.989719
548.939265,103,485.550541
381.910249,71,486.626662
541.760949,103,488.187485
430.483633,81,489.430159
334.305438,72,490.516252
467.108491,91,491.893566
332.863278,72,492.989633
443.32572,83,494.244275
541.001595,122,496.138206
522.838238,103,497.700027
521.464702,95,499.145159
328.685059,73,500.244217
350.969627,74,501.367212
497.635973,92,502.757493
483.626447,91,504.145776
439.226025,99,505.646759
518.528001,114,507.375134
868.658819,166,509.897383
363.69019,74,511.02337
318.321024,68,512.052616
340.501952,66,513.051941
398.016416,74,514.17294
392.814195,73,515.28297
417.473618,92,516.691201
329.548854,62,517.629689
253.423678,49,518.372701
393.897442,76,519.525615
565.900216,102,521.075468
205.731089,41,521.692815
509.980929,88,523.04021
379.23159,79,524.23202
617.60693,127,526.173823
497.467946,96,527.628929
286.642005,58,528.519545
560.545388,109,530.169131
640.426805,133,532.200694
248.244742,56,533.052414
438.315043,96,534.508517
364.126631,72,535.599597
300.751207,56,536.443339
346.103435,75,537.581294
404.4649,84,538.864858
350.993891,75,540.005805
359.213321,67,541.032059
453.37802,84,542.314626
315.094452,60,543.229178
471.833979,98,544.710215
351.276972,64,545.674634
280.246734,54,546.493443
399.315181,77,547.654336
249.790979,50,548.413304
460.874174,84,549.681909
578.173504,108,551.334487
617.683074,115,553.077821
1112.759869,200,556.12367
550.147927,102,557.714412
640.86103,120,559.539528
669.149503,139,561.647885
401.545928,74,562.773872
490.832909,90,564.143207
329.572442,70,565.211349
293.146967,54,566.032152
288.762057,52,566.817051
238.73409,46,567.520169
502.448254,88,568.855596
411.362248,72,569.945678
339.613008,62,570.896135
324.652728,62,571.842602
392.34928,76,572.998509
331.114557,60,573.906079
520.446613,101,575.430001
509.027475,89,576.787368
299.215614,59,577.678982
272.591365,50,578.443935
460.007321,85,579.729494
436.498768,87,581.055944
382.240014,83,582.321557
397.045436,73,583.433581
431.638826,81,584.657306
278.29294,60,585.568867
334.583186,61,586.492395
304.954538,60,587.429886
352.372183,69,588.479078
441.99183,87,589.798548
292.092049,55,590.632316
344.588921,63,591.587759
346.122994,64,592.558161
400.254981,73,593.661209
304.431611,60,594.573767
326.776632,60,595.486325
330.792216,63,596.438776
320.757535,57,597.297478
304.389659,61,598.219012
281.344343,52,599.020866
396.423808,86,600.32338
289.005589,58,601.202028
297.865068,57,602.071701
361.302162,68,603.104935
290.053119,54,603.931724
344.130136,71,605.001859
358.565091,69,606.045067
498.245788,95,607.487207
339.097665,71,608.556346
440.620184,85,609.853874
448.650001,84,611.136441
414.808437,76,612.285366
258.388767,54,613.109162
827.239613,161,615.53866
557.058313,102,617.08552
689.084128,132,619.141019
642.604989,121,620.978102
388.81276,78,622.167918
439.802727,96,623.631002
353.586695,75,624.790898
594.530721,121,626.63596
402.5971,80,627.84672
358.272646,72,628.938798
328.476045,61,629.855345
325.481099,63,630.807796
311.713363,57,631.675473
393.657508,75,632.813428
591.750352,115,634.558757
475.345733,87,635.878226
441.91985,83,637.152814
337.782386,61,638.074349
325.132573,61,639.000869
309.899748,66,640.004184
485.659947,92,641.396457
515.078131,114,643.126828
249.082308,55,643.956606
457.945095,94,645.371819
446.149193,102,646.922668
519.26281,101,648.473517
383.339299,71,649.559611
462.031846,91,650.933933
459.956876,95,652.373082
265.135601,61,653.309575
311.719383,70,654.371732
293.235575,65,655.358093
628.416225,123,657.229085
379.658505,84,658.504672
440.36594,83,659.774274
466.377837,92,661.170537
552.474457,103,662.733355
695.33942,139,664.839717
394.298318,80,666.050477
638.042014,126,667.955379
494.589668,94,669.370592
634.314542,135,671.421104
618.278727,114,673.1415
469.024816,92,674.536766
485.54138,99,676.043733
485.667943,88,677.388134
518.115444,94,678.875155
490.915078,95,680.328266
362.990869,76,681.472204
587.51157,108,683.111817
433.390109,81,684.338533
396.459875,75,685.470504
383.559909,68,686.506731
